Id,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
1826,4.4722080869281955,-1.7556814021336076,-2.3436069431475715,-1.0362452574918315,1.8980854723749345,1.7163062966144313,1.1180091994314771,0.6391203226118963,1.5685412042901106,-0.7516121098325381
1,0.2531249636151603,-0.01887677790063312,0.2629157227867027,-1.999205177753959,0.240291984013665,-1.639490712187261,-0.17529458387106212,0.3135610371443512,0.013395706250088197,-0.2658136553169202
10476,-0.19913859205201803,-0.3931305517824357,1.5233938582069821,-2.1347911390379193,0.5232196238019184,0.794624993705244,0.5275171119141767,0.1974960234624531,0.19490404673416495,-0.005813156042943676
1386,-2.9479798558046375,-0.466661323814121,0.01832557222990204,-1.6712644841947688,0.07256838000285037,0.6789571032620314,0.043708955714122415,-0.08058900661425554,0.43548499637508614,0.6557206401513856
5371,-2.434817262305971,-0.8238362057595252,-1.4566049937025336,-1.362154123015023,-0.08814386494747549,-0.36403436586327603,0.34711051647687624,-0.010746758476326819,0.05847175892076871,0.16928361739527986
7348,3.6007920921038266,-2.171919445001551,-1.416388194065591,-1.41148486441199,-0.15100929487839196,1.3492203284587545,0.10241777257569713,-1.176725391529798,-1.045203516045545,1.054469231375361
4073,2.744259730231403,0.43696034990305294,-0.7474967791680952,-1.7005107892466904,-0.28014856362665513,-1.8792621749346017,-0.14818051650846115,-0.5746473451845692,0.4320020563583426,1.038232576017925
1991,-1.648483331711373,-0.36897786352163836,1.0823953922204952,-2.047123804788934,0.6635170362202994,0.41355355482246714,0.20245169796823095,-0.6703709733792417,0.18839403448680656,0.04036272834226667
4047,0.43696927980636546,1.1192253846649045,0.9654188895122047,-2.0500670922969824,-0.0220672705304915,0.27630125562970137,-0.7261274566157818,0.23841436420260143,0.1207500958551064,-0.7589919340646452
9477,0.43696927980636546,1.1192253846649045,0.9654188895122047,-2.0500670922969824,-0.0220672705304915,0.27630125562970137,-0.7261274566157818,0.23841436420260143,0.1207500958551064,-0.7589919340646452
2079,3.305789978092443,-1.3002975379392379,0.2708894092217954,-1.781990391213796,-0.9246754957115382,0.19819656022485574,-0.4741502713901446,0.2852322522136365,0.7311852924192418,-1.2186282186908548
5642,-1.1028802024233968,-0.8354290936967844,-0.11926255489564981,-1.684930304356092,-0.9113040332782825,0.006936742410348184,-0.1873231710051933,1.2679527368446992,0.19251493242867615,-0.30820853757031974
