Cluster,Segment,Customers,Pct_Customers,Income,Kidhome,Teenhome,Recency,TotalSpend,MntWines,MntMeatProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,ResponseRate,ComplaintRate,PC1,PC2,PC3
1,Budget family browsers,1040,46.42857142857143,35334.17023346303,0.7961538461538461,0.4442307692307692,49.18653846153846,96.9701923076923,41.65480769230769,22.991346153846155,15.304807692307692,2.064423076923077,2.1096153846153847,0.5490384615384616,3.2009615384615384,6.476923076923077,9.326923076923077,1.25,-2.223483072925767,-0.48050809045518755,-0.06918568746084017
2,Affluent omnichannel loyalists,585,26.116071428571427,75870.86896551723,0.042735042735042736,0.1675213675213675,49.37948717948718,1362.5282051282052,589.6376068376069,454.1863247863248,77.34188034188034,1.3094017094017094,5.2153846153846155,5.976068376068376,8.413675213675214,2.793162393162393,27.17948717948718,0.6837606837606838,3.372713323172263,-0.7840947889609076,-0.16388984266515694
3,Deal-oriented wine shoppers,615,27.455357142857142,58308.02302631579,0.23089430894308943,0.9333333333333333,48.72195121951219,746.439024390244,475.70243902439023,137.16747967479674,60.889430894308944,3.731707317073171,6.349593495934959,3.0829268292682928,7.673170731707317,5.7544715447154475,12.682926829268293,0.6504065040650406,0.5518456939626412,1.5584127896187412,0.27289215108681386
