comparison,estimate,low,high
contract,0.7372652354749543,0.7162586607994378,0.7557311497055941
logistic,0.8471427833320417,0.8254145260287559,0.8699459652728027
trees,0.8496654524787517,0.8282673461945358,0.8731642295413213
logistic minus contract,0.10987754785708748,0.09313630029071265,0.12844992793473903
trees minus contract,0.11240021700379743,0.09589134628060791,0.13111680606778364
trees minus logistic,0.002522669146709955,-0.0048617134175355375,0.01028416683712332
